ID,NODE_MINUTES,NODES,EXECUTIONSTART,SHOTS,RESENTSHOTS,RESTART,SCNAME,NTHREADS,NCPU,ATTR01,ATTR02,ATTR03,ATTR04,ATTR05,ATTR06,ATTR07,ATTR08,ATTR09,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20,ATTR21,ATTR22,ATTR23,ATTR24,ATTR25,ATTR26,ATTR27,ATTR28,ATTR29,ATTR20,ATTR31,ATTR32,ATTR33,ATTR34,ATTR35,ATTR36,ATTR37,ATTR38,ATTR39,ATTR30,ATTR31,ATTR32
375557639,8540,8,7/26/2018 8:26,16,0,F,center_2,1,4,?,?,?,?,tamnone,42,?,0,0,4777,0,0,0,0,0,0,416,352,0,554,342.21,0,0,0,86,0,0,0,0,0,0,0,6309903,76500883734,471,6,2821,0,0,0,0,0
375480731,1695,8,7/26/2018 8:26,210,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,70.442,0,0,0,110,0,0,0,0,0,0,0,1717064,7932804595,133,8,1063,0,0,0,0,0
376942731,1272,16,7/26/2018 8:26,36,0,F,center_4,1,2,?,?,tamrec,?,?,0,?,0,0,1971,0,0,0,0,0,0,416,416,0,187,61.663,0,0,0,37,0,0,0,0,0,0,0,43203598,2.30189E+11,79,16,1251,0,0,0,0,0
376942732,1446,16,7/26/2018 8:27,36,0,F,center_4,1,2,?,?,tamrec,?,?,0,?,0,0,1971,0,0,0,0,0,0,416,416,0,187,61.679,0,0,0,37,0,0,0,0,0,0,0,41554488,2.21402E+11,79,16,1251,0,0,0,0,0
376034687,654,8,7/26/2018 8:27,73,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.015,0,0,0,62,0,0,0,0,0,0,0,274213,1214402002,22,24,513,0,0,0,0,0
376034747,731,8,7/26/2018 8:28,74,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.268,0,0,0,62,0,0,0,0,0,0,0,271061,1200443359,22,24,513,0,0,0,0,0
376034689,768,8,7/26/2018 8:30,71,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.123,0,0,0,62,0,0,0,0,0,0,0,321844,1424855400,22,24,513,0,0,0,0,0
375557640,8609,8,7/26/2018 8:30,16,0,F,center_2,1,4,?,?,?,?,tamnone,42,?,0,0,4777,0,0,0,0,0,0,416,352,0,554,343.078,0,0,0,86,0,0,0,0,0,0,0,6309903,76500883734,471,6,2821,0,0,0,0,0
370481127,1793,8,7/26/2018 8:32,80,0,F,center_4,1,2,?,?,?,?,tamnone,0,?,0,0,4231,0,0,0,0,0,0,288,288,0,594,262.03,0,0,0,174,0,0,0,0,0,0,0,2814355,36687610642,751,4,3001,0,0,0,0,0
376906726,568,16,7/26/2018 8:32,267,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,20.012,0,0,0,65,0,0,0,0,0,0,0,2278873,20318416535,251,8,2001,0,0,0,0,0
376906728,966,16,7/26/2018 8:34,257,0,F,center_1,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,20.064,0,0,0,65,0,0,0,0,0,0,0,2370719,21137681547,251,8,2001,0,0,0,0,0
376034691,709,8,7/26/2018 8:35,63,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,29.709,0,0,0,62,0,0,0,0,0,0,0,250782,1110249046,22,24,513,0,0,0,0,0
376034745,680,8,7/26/2018 8:35,71,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,29.883,0,0,0,62,0,0,0,0,0,0,0,269226,1191853424,22,24,513,0,0,0,0,0
376906730,526,16,7/26/2018 8:36,216,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,19.951,0,0,0,65,0,0,0,0,0,0,0,1675263,14936822513,251,8,2001,0,0,0,0,0
375480733,985,8,7/26/2018 8:37,174,0,F,center_12,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,67.949,0,0,0,110,0,0,0,0,0,0,0,1345685,6216965160,133,8,1063,0,0,0,0,0
376906732,364,16,7/26/2018 8:38,193,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,19.903,0,0,0,65,0,0,0,0,0,0,0,773348,6895569993,251,8,2001,0,0,0,0,0
375480734,1084,8,7/26/2018 8:39,130,0,F,center_10,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,65.84,0,0,0,110,0,0,0,0,0,0,0,1083985,5007931867,133,8,1063,0,0,0,0,0
376106261,856,8,7/26/2018 8:40,110,0,F,center_13,1,4,?,?,?,?,?,0,?,0,0,2580,0,0,0,0,0,0,256,256,0,492,92.307,0,0,0,84,0,0,0,0,0,0,0,855466,9003325194,399,6,2389,0,0,0,0,0
370481128,724,8,7/26/2018 8:41,23,0,F,center_4,1,2,?,?,?,?,tamnone,0,?,0,0,4231,0,0,0,0,0,0,288,288,0,594,233.458,0,0,0,174,0,0,0,0,0,0,0,2814355,36687610642,751,4,3001,0,0,0,0,0
376106262,849,8,7/26/2018 8:42,111,0,F,center_13,1,4,?,?,?,?,?,0,?,0,0,2580,0,0,0,0,0,0,256,256,0,492,92.353,0,0,0,84,0,0,0,0,0,0,0,856874,9017283837,399,6,2389,0,0,0,0,0
